lemma,english,pos,frequency_rank,normalized_frequency,cefr_estimate,tags
liden,,adjective,121,0.000745310646565441,A1,core adjective core_500 core_1000 core_2000
mens,,conjunction,122,0.000737310540042622,A1,core conjunction core_500 core_1000 core_2000
dog,,adverb,123,0.000730740135713847,A1,core adverb core_500 core_1000 core_2000
for,,conjunction,124,0.000727536090827971,A1,core conjunction core_500 core_1000 core_2000
skrive,,verb,125,0.000709245686087362,A1,core verb core_500 core_1000 core_2000
bare,,adverb,126,0.000699519041844985,A1,core adverb core_500 core_1000 core_2000
hos,,preposition,127,0.000691848011410375,A1,core preposition core_500 core_1000 core_2000
høj,,adjective,128,0.000679317549956971,A1,core adjective core_500 core_1000 core_2000
menneske,,noun,129,0.000675507604841115,A1,core noun core_500 core_1000 core_2000
ligge,,verb,130,0.000657735272590728,A1,core verb core_500 core_1000 core_2000
replik,,noun,131,0.000655486215406784,A1,core noun core_500 core_1000 core_2000
tilbage,,adverb,132,0.0006451125364234,A1,core adverb core_500 core_1000 core_2000
ske,,verb,133,0.000639716133274184,A1,core verb core_500 core_1000 core_2000
igen,,adverb,134,0.000631414744251686,A1,core adverb core_500 core_1000 core_2000
siden,,adverb,135,0.000629470304798044,A1,core adverb core_500 core_1000 core_2000
sag,,noun,136,0.000628726548368949,A1,core noun core_500 core_1000 core_2000
regering,,noun,137,0.000622954375902791,A1,core noun core_500 core_1000 core_2000
eksempel,,noun,138,0.00062009385977116,A1,core noun core_500 core_1000 core_2000
frem,,adverb,139,0.000613859201991842,A1,core adverb core_500 core_1000 core_2000
verden,,noun,140,0.00060761120329003,A1,core noun core_500 core_1000 core_2000
måske,,adverb,141,0.000603312091016025,A1,core adverb core_500 core_1000 core_2000
sådan,,adverb,142,0.000601787890620974,A1,core adverb core_500 core_1000 core_2000
folk,,noun,143,0.000599437664774776,A1,core noun core_500 core_1000 core_2000
vide,,verb,144,0.000599332049138358,A1,core verb core_500 core_1000 core_2000
lave,,verb,145,0.000597018510829021,A1,core verb core_500 core_1000 core_2000
uden,,preposition,146,0.000596551578541697,A1,core preposition core_500 core_1000 core_2000
tale,,verb,147,0.000596487097416304,A1,core verb core_500 core_1000 core_2000
endnu,,adverb,148,0.00059501292548061,A1,core adverb core_500 core_1000 core_2000
egen,,adjective,149,0.000594507082169342,A1,core adjective core_500 core_1000 core_2000
ung,,adjective,150,0.000594361443765439,A1,core adjective core_500 core_1000 core_2000
hvordan,,adverb,151,0.000593074044744674,A1,core adverb core_500 core_1000 core_2000
problem,,noun,152,0.000585198453498474,A1,core noun core_500 core_1000 core_2000
spille,,verb,153,0.000581117242958554,A1,core verb core_500 core_1000 core_2000
side,,noun,154,0.000577688625877345,A1,core noun core_500 core_1000 core_2000
uge,,noun,155,0.000576539083055695,A1,core noun core_500 core_1000 core_2000
årig,,adjective,156,0.000575176085474125,A1,core adjective core_500 core_1000 core_2000
vej,,noun,157,0.000573880904248572,A1,core noun core_500 core_1000 core_2000
minut,,noun,158,0.000572421184978913,A1,core noun core_500 core_1000 core_2000
penge,,noun,159,0.000568928086772313,A1,core noun core_500 core_1000 core_2000
vores,,pronoun,160,0.000568838035545472,A1,core pronoun core_500 core_1000 core_2000
ned,,adverb,161,0.000568753543036337,A1,core adverb core_500 core_1000 core_2000
fortælle,,verb,162,0.00056129040864394,A1,core verb core_500 core_1000 core_2000
rigtig,,adjective,163,0.000554873424923858,A1,core adjective core_500 core_1000 core_2000
tro,,verb,164,0.000551031239245306,A1,core verb core_500 core_1000 core_2000
kamp,,noun,165,0.00055013517395106,A1,core noun core_500 core_1000 core_2000
klar,,adjective,166,0.000548628761452669,A1,core adjective core_500 core_1000 core_2000
kvinde,,noun,167,0.000543243475738865,A1,core noun core_500 core_1000 core_2000
ifølge,,preposition,168,0.000540123923362124,A1,core preposition core_500 core_1000 core_2000
liv,,noun,169,0.000538520789175644,A1,core noun core_500 core_1000 core_2000
omkring,,preposition,170,0.000536507421622444,A1,core preposition core_500 core_1000 core_2000
virksomhed,,noun,171,0.000525229895140027,A1,core noun core_500 core_1000 core_2000
politisk,,adjective,172,0.000524899707308276,A1,core adjective core_500 core_1000 core_2000
by,,noun,173,0.000523725706128718,A1,core noun core_500 core_1000 core_2000
lægge,,verb,174,0.000520443839194955,A1,core verb core_500 core_1000 core_2000
stadig,,adverb,175,0.000518482723588194,A1,core adverb core_500 core_1000 core_2000
forhold,,noun,176,0.000515474345565577,A1,core noun core_500 core_1000 core_2000
først,,adverb,177,0.000513051856389198,A1,core adverb core_500 core_1000 core_2000
måde,,noun,178,0.000511886749157971,A1,core noun core_500 core_1000 core_2000
mulighed,,noun,179,0.00050965881510131,A1,core noun core_500 core_1000 core_2000
arbejde,,verb,180,0.000509389773164328,A1,core verb core_500 core_1000 core_2000
gennem,,preposition,181,0.00050085602974171,A1,core preposition core_500 core_1000 core_2000
lade,,verb,182,0.000497564157116075,A1,core verb core_500 core_1000 core_2000
arbejde,,noun,183,0.000496116667025371,A1,core noun core_500 core_1000 core_2000
grund,,noun,184,0.000493092724593177,A1,core noun core_500 core_1000 core_2000
over,,adverb,185,0.000491879812389675,A1,core adverb core_500 core_1000 core_2000
allerede,,adverb,186,0.000482961405701786,A1,core adverb core_500 core_1000 core_2000
begynde,,verb,187,0.000482623435665246,A1,core verb core_500 core_1000 core_2000
samtidig,,adverb,188,0.000481444987511524,A1,core adverb core_500 core_1000 core_2000
politi,,noun,189,0.00047246988190303,A1,core noun core_500 core_1000 core_2000
køre,,verb,190,0.000471735019422265,A1,core verb core_500 core_1000 core_2000
bog,,noun,191,0.000471343685695746,A1,core noun core_500 core_1000 core_2000
skabe,,verb,192,0.000468353095569789,A1,core verb core_500 core_1000 core_2000
vælge,,verb,193,0.000466572082416711,A1,core verb core_500 core_1000 core_2000
da,,adverb,194,0.000462807718786045,A1,core adverb core_500 core_1000 core_2000
område,,noun,195,0.000460171774849747,A1,core noun core_500 core_1000 core_2000
måned,,noun,196,0.000456993300065319,A1,core noun core_500 core_1000 core_2000
sidde,,verb,197,0.000450139401133527,A1,core verb core_500 core_1000 core_2000
altså,,adverb,198,0.000446977602502218,A1,core adverb core_500 core_1000 core_2000
gerne,,adverb,199,0.000446187152844391,A1,core adverb core_500 core_1000 core_2000
par,,noun,200,0.000441349956696422,A1,core noun core_500 core_1000 core_2000
svær,,adjective,201,0.000439612301541451,A1,core adjective core_500 core_1000 core_2000
min,,pronoun,202,0.000438441635592517,A1,core pronoun core_500 core_1000 core_2000
række,,noun,203,0.000435685623353764,A1,core noun core_500 core_1000 core_2000
aldrig,,adverb,204,0.000434025790246681,A1,core adverb core_500 core_1000 core_2000
netop,,adverb,205,0.000432594976309095,A1,core adverb core_500 core_1000 core_2000
følge,,verb,206,0.000427964564459798,A1,core verb core_500 core_1000 core_2000
altid,,adverb,207,0.000426674941951951,A1,core adverb core_500 core_1000 core_2000
skole,,noun,208,0.000424638227784385,A1,core noun core_500 core_1000 core_2000
plads,,noun,209,0.000422405846753559,A1,core noun core_500 core_1000 core_2000
amerikansk,,adjective,210,0.000417949978640238,A1,core adjective core_500 core_1000 core_2000
familie,,noun,211,0.000417056136833075,A1,core noun core_500 core_1000 core_2000
betyde,,verb,212,0.000416260128457541,A1,core verb core_500 core_1000 core_2000
høre,,verb,213,0.000414911583542008,A1,core verb core_500 core_1000 core_2000
vigtig,,adjective,214,0.000413545250729814,A1,core adjective core_500 core_1000 core_2000
går,,noun,215,0.000413437411606313,A1,core noun core_500 core_1000 core_2000
næste,,adjective,216,0.000410652494035488,A1,core adjective core_500 core_1000 core_2000
slå,,verb,217,0.000406571283495567,A1,core verb core_500 core_1000 core_2000
klokke,,noun,218,0.000404773594189369,A1,core noun core_500 core_1000 core_2000
million,,noun,219,0.000403231605897659,A1,core noun core_500 core_1000 core_2000
pris,,noun,220,0.000402938105602769,A1,core noun core_500 core_1000 core_2000
nemlig,,adverb,221,0.000399009203927999,A1,core adverb core_500 core_1000 core_2000
historie,,noun,222,0.000398321034675967,A1,core noun core_500 core_1000 core_2000
tænke,,verb,223,0.000397809632646993,A1,core verb core_500 core_1000 core_2000
ting,,noun,224,0.000397000283348965,A1,core noun core_500 core_1000 core_2000
bil,,noun,225,0.000395444954134759,A1,core noun core_500 core_1000 core_2000
møde,,verb,226,0.000394890194107676,A1,core verb core_500 core_1000 core_2000
kende,,verb,227,0.000393890736664095,A1,core verb core_500 core_1000 core_2000
forskellig,,adjective,228,0.000393223690539346,A1,core adjective core_500 core_1000 core_2000
få,,adjective,229,0.000391248122266549,A1,core adjective core_500 core_1000 core_2000
syne,,verb,230,0.000390444331686226,A1,core verb core_500 core_1000 core_2000
film,,noun,231,0.000389614971004455,A1,core noun core_500 core_1000 core_2000
sende,,verb,232,0.000388712235248962,A1,core verb core_500 core_1000 core_2000
falde,,verb,233,0.000386287522585501,A1,core verb core_500 core_1000 core_2000
hus,,noun,234,0.0003833469609189,A1,core noun core_500 core_1000 core_2000
formand,,noun,235,0.000381569282996445,A1,core noun core_500 core_1000 core_2000
burde,,verb,236,0.000375410223777932,A1,core verb core_500 core_1000 core_2000
hendes,,pronoun,237,0.000374798764830246,A1,core pronoun core_500 core_1000 core_2000
samle,,verb,238,0.000374370743566866,A1,core verb core_500 core_1000 core_2000
direktør,,noun,239,0.00037364366329089,A1,core noun core_500 core_1000 core_2000
aften,,noun,240,0.000371138905092458,A1,core noun core_500 core_1000 core_2000
parti,,noun,241,0.000370777588441553,A1,core noun core_500 core_1000 core_2000
rundt,,adverb,242,0.000370344008460466,A1,core adverb core_500 core_1000 core_2000
spørgsmål,,noun,243,0.000368258377577085,A1,core noun core_500 core_1000 core_2000
