skabe	create; make; to create, make	verb	192	core verb core_500 core_1000 core_2000
vælge	choose; to choose; select	verb	193	core verb core_500 core_1000 core_2000
da	surely; then; then, at that time	adverb	194	core adverb core_500 core_1000 core_2000
område	area; region; territory	noun	195	core noun core_500 core_1000 core_2000
måned	month	noun	196	core noun core_500 core_1000 core_2000
sidde	sit; to sit; be	verb	197	core verb core_500 core_1000 core_2000
altså		adverb	198	core adverb core_500 core_1000 core_2000
gerne	with; pleasure; gladly	adverb	199	core adverb core_500 core_1000 core_2000
par	pair; couple; golf	noun	200	core noun core_500 core_1000 core_2000
svær	difficult; hard; stiff	adjective	201	core adjective core_500 core_1000 core_2000
min	mine; my	pronoun	202	core pronoun core_500 core_1000 core_2000
række	row; line; rank	noun	203	core noun core_500 core_1000 core_2000
aldrig	never	adverb	204	core adverb core_500 core_1000 core_2000
netop	precisely; very; precisely [this]	adverb	205	core adverb core_500 core_1000 core_2000
følge	follow; to follow; logical	verb	206	core verb core_500 core_1000 core_2000
altid	always	adverb	207	core adverb core_500 core_1000 core_2000
skole	school	noun	208	core noun core_500 core_1000 core_2000
plads	place; seat; position	noun	209	core noun core_500 core_1000 core_2000
amerikansk	American; Americas; United States of America	adjective	210	core adjective core_500 core_1000 core_2000
familie	family; taxonomy	noun	211	core noun core_500 core_1000 core_2000
betyde	mean; to mean	verb	212	core verb core_500 core_1000 core_2000
høre	hear; to hear; learn	verb	213	core verb core_500 core_1000 core_2000
vigtig	important	adjective	214	core adjective core_500 core_1000 core_2000
går	i går; yesterday; gårs dato	noun	215	core noun core_500 core_1000 core_2000
næste	next; following; the following	adjective	216	core adjective core_500 core_1000 core_2000
slå	beat; hit; knock	verb	217	core verb core_500 core_1000 core_2000
klokke	bell; doorbell; time	noun	218	core noun core_500 core_1000 core_2000
million	a million	noun	219	core noun core_500 core_1000 core_2000
pris	price; fare; cost	noun	220	core noun core_500 core_1000 core_2000
nemlig	that is; that is to say; that is, that is to say	adverb	221	core adverb core_500 core_1000 core_2000
historie	history; story; affair	noun	222	core noun core_500 core_1000 core_2000
tænke	think; to think; believe	verb	223	core verb core_500 core_1000 core_2000
ting	thing; assembly; parliament	noun	224	core noun core_500 core_1000 core_2000
bil	car; automobile; car, automobile	noun	225	core noun core_500 core_1000 core_2000
møde	meet; encounter; to meet, encounter	verb	226	core verb core_500 core_1000 core_2000
kende	know; recognise; ved	verb	227	core verb core_500 core_1000 core_2000
forskellig	different	adjective	228	core adjective core_500 core_1000 core_2000
få	few	adjective	229	core adjective core_500 core_1000 core_2000
syne	inspect; car; vehicle	verb	230	core verb core_500 core_1000 core_2000
film	movie; motion picture; a movie, a film, motion picture	noun	231	core noun core_500 core_1000 core_2000
sende	send; to send	verb	232	core verb core_500 core_1000 core_2000
falde	fall; to fall; drop	verb	233	core verb core_500 core_1000 core_2000
hus	house; building; block of flats	noun	234	core noun core_500 core_1000 core_2000
formand	chairman; head; chairman, head	noun	235	core noun core_500 core_1000 core_2000
burde	ought	verb	236	core verb core_500 core_1000 core_2000
